Rozmiar,Metoda,Operacja,Przypadek,Czas_ns
50000,sondowanie_kwadratowe,usuwanie,pesymistyczny,102
100000,sondowanie_liniowe,dodawanie,optymistyczny,87
100000,sondowanie_liniowe,dodawanie,sredni,87
100000,sondowanie_liniowe,dodawanie,pesymistyczny,97
100000,sondowanie_liniowe,szukanie,optymistyczny,55
100000,sondowanie_liniowe,szukanie,sredni,45
100000,sondowanie_liniowe,szukanie,pesymistyczny,45
100000,sondowanie_liniowe,usuwanie,optymistyczny,88
100000,sondowanie_liniowe,usuwanie,sredni,95
100000,sondowanie_liniowe,usuwanie,pesymistyczny,89
100000,lancuchowanie,dodawanie,optymistyczny,1679
100000,lancuchowanie,dodawanie,sredni,1716
100000,lancuchowanie,dodawanie,pesymistyczny,1515
100000,lancuchowanie,szukanie,optymistyczny,571
100000,lancuchowanie,szukanie,sredni,293
100000,lancuchowanie,szukanie,pesymistyczny,126
100000,lancuchowanie,usuwanie,optymistyczny,665
100000,lancuchowanie,usuwanie,sredni,606
100000,lancuchowanie,usuwanie,pesymistyczny,556
100000,robin_hood,dodawanie,optymistyczny,80
100000,robin_hood,dodawanie,sredni,79
100000,robin_hood,dodawanie,pesymistyczny,76
100000,robin_hood,szukanie,optymistyczny,46
100000,robin_hood,szukanie,sredni,42
100000,robin_hood,szukanie,pesymistyczny,43
100000,robin_hood,usuwanie,optymistyczny,84
100000,robin_hood,usuwanie,sredni,87
100000,robin_hood,usuwanie,pesymistyczny,86
100000,sondowanie_kwadratowe,dodawanie,optymistyczny,95
100000,sondowanie_kwadratowe,dodawanie,sredni,96
100000,sondowanie_kwadratowe,dodawanie,pesymistyczny,92
100000,sondowanie_kwadratowe,szukanie,optymistyczny,53
100000,sondowanie_kwadratowe,szukanie,sredni,48
100000,sondowanie_kwadratowe,szukanie,pesymistyczny,45
100000,sondowanie_kwadratowe,usuwanie,optymistyczny,98
100000,sondowanie_kwadratowe,usuwanie,sredni,99
100000,sondowanie_kwadratowe,usuwanie,pesymistyczny,98
